WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2026-08-01,Middle East,Turkey,Adana,Protests,Peaceful protest,3,0,115434.0,Demonstrations,3347,37.4745,35.3726
2026-08-01,Middle East,Syria,Homs,Strategic developments,Arrests,2,0,,Strategic developments,3188,34.4708,38.2063
2026-08-01,Middle East,Turkey,Sanliurfa,Protests,Peaceful protest,1,0,26950.0,Demonstrations,3414,37.3442,38.9233
2026-08-01,Middle East,Yemen,Al Hudaydah,Protests,Peaceful protest,5,0,194068.0,Demonstrations,3678,14.7791,43.2181
2026-08-01,Middle East,Iran,Sistan and Baluchestan,Violence against civilians,Abduction/forced disappearance,2,0,44013.0,Political violence,1354,28.2728,60.8613
2026-08-01,Middle East,Iraq,Maysan,Violence against civilians,Attack,1,1,1059.0,Political violence,1373,31.999,47.135
2026-08-01,Middle East,Syria,Hama,Strategic developments,Change to group/activity,2,0,,Strategic developments,3187,35.3165,37.3411
2026-08-01,Middle East,Yemen,Shabwah,Strategic developments,Change to group/activity,4,0,,Strategic developments,3693,14.651,46.62
2026-08-01,Middle East,Syria,Deir ez Zor,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3186,35.2318,40.2761
2026-08-01,Middle East,Yemen,Abyan,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,3674,13.6274,46.228
2026-08-01,Middle East,Palestine,Gaza Strip,Strategic developments,Headquarters or base established,1,0,,Strategic developments,2289,31.407,34.3577
2026-08-01,Middle East,Turkey,Afyonkarahisar,Protests,Peaceful protest,1,0,21885.0,Demonstrations,3349,38.5248,30.6111
2026-08-01,Middle East,Syria,Idleb,Violence against civilians,Attack,1,2,17981.0,Political violence,3189,35.8547,36.5648
2026-08-01,Middle East,Lebanon,Al Nabatieh,Explosions/Remote violence,Shelling/artillery/missile attack,48,0,68090.0,Political violence,1741,33.2832,35.4971
2026-08-01,Middle East,Palestine,Gaza Strip,Strategic developments,Change to group/activity,5,0,,Strategic developments,2289,31.407,34.3577
2026-08-01,Middle East,Iraq,Al Sulaymaniyah,Violence against civilians,Abduction/forced disappearance,1,0,2720.0,Political violence,1365,35.5263,45.379
2026-08-08,Middle East,Israel,HaZafon,Protests,Peaceful protest,4,0,58569.0,Demonstrations,1408,32.839,35.3807
2026-08-08,Middle East,Iraq,Salah Al Din,Strategic developments,Change to group/activity,1,0,,Strategic developments,1375,34.6687,43.6316
2026-08-08,Middle East,Yemen,Al Bayda,Strategic developments,Change to group/activity,1,0,,Strategic developments,3677,14.326,45.216
2026-08-08,Middle East,Yemen,Marib,Protests,Peaceful protest,1,0,15958.0,Demonstrations,3689,15.3329,45.4523
2026-08-08,Middle East,Iran,Isfahan,Protests,Peaceful protest,8,0,22355.0,Demonstrations,1340,32.6094,52.0477
2026-08-08,Middle East,Yemen,Al Bayda,Battles,Armed clash,2,0,15591.0,Political violence,3677,14.326,45.216
2026-08-08,Middle East,Iran,Khuzestan,Protests,Peaceful protest,9,0,41351.0,Demonstrations,1343,31.4636,48.9916
2026-08-08,Middle East,Yemen,Ibb,Violence against civilians,Abduction/forced disappearance,1,0,36219.0,Political violence,3687,14.0881,44.175
2026-08-08,Middle East,Syria,Dara,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3185,32.831,36.1112
2026-08-08,Middle East,Iraq,Salah Al Din,Battles,Armed clash,1,3,119295.0,Political violence,1375,34.6687,43.6316
2026-08-08,Middle East,Iraq,Al Najaf,Protests,Peaceful protest,1,0,28398.0,Demonstrations,1363,31.0697,43.38
2026-08-08,Middle East,Turkey,Istanbul,Protests,Peaceful protest,5,0,157632.0,Demonstrations,3386,41.2707,28.4707
2026-08-08,Middle East,Iran,Sistan and Baluchestan,Violence against civilians,Attack,7,5,538697.0,Political violence,1354,28.2728,60.8613
2026-08-08,Middle East,Syria,Deir ez Zor,Strategic developments,Other,3,0,,Strategic developments,3186,35.2318,40.2761
2026-08-08,Middle East,Palestine,Gaza Strip,Explosions/Remote violence,Shelling/artillery/missile attack,52,1,660992.0,Political violence,2289,31.407,34.3577
2026-08-08,Middle East,Syria,Quneitra,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3191,33.0113,35.7989
2026-08-08,Middle East,Iraq,Al Anbar,Strategic developments,Disrupted weapons use,6,0,,Strategic developments,1360,33.1774,41.3987
2026-08-08,Middle East,Syria,Dara,Riots,Violent demonstration,1,0,64248.0,Demonstrations,3185,32.831,36.1112
2026-08-08,Middle East,Iraq,Al Muthanna,Strategic developments,Change to group/activity,1,0,,Strategic developments,1362,30.4107,45.3606
2026-08-08,Middle East,Yemen,Abyan,Protests,Peaceful protest,8,0,59034.0,Demonstrations,3674,13.6274,46.228
2026-08-08,Middle East,Syria,Ar Raqqa,Riots,Mob violence,1,0,210.0,Political violence,3182,36.0265,38.922
2026-08-08,Middle East,Iran,Sistan and Baluchestan,Protests,Peaceful protest,3,0,79908.0,Demonstrations,1354,28.2728,60.8613
2026-08-08,Middle East,Palestine,West Bank,Riots,Mob violence,119,0,622486.0,Political violence,2290,31.9475,35.267
2026-08-08,Middle East,Yemen,Sadah,Protests,Peaceful protest,3,0,53148.0,Demonstrations,3691,17.0883,44.0424
2026-08-08,Middle East,Syria,Ar Raqqa,Strategic developments,Arrests,1,0,,Strategic developments,3182,36.0265,38.922
2026-08-08,Middle East,Syria,Homs,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,32175.0,Political violence,3188,34.4708,38.2063
2026-08-08,Middle East,Iran,Qom,Protests,Peaceful protest,4,0,43710.0,Demonstrations,1351,34.6674,51.002
2026-08-08,Middle East,Syria,Tartous,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3193,34.9536,36.075
2026-08-08,Middle East,Syria,Damascus,Protests,Peaceful protest,2,0,129285.0,Demonstrations,3184,33.5153,36.2738
2026-08-08,Middle East,Iran,Kurdistan,Violence against civilians,Attack,1,1,313847.0,Political violence,1345,35.6014,47.0057
2026-08-08,Middle East,Yemen,Taizz,Explosions/Remote violence,Shelling/artillery/missile attack,34,8,452328.0,Political violence,3695,13.2949,43.7855
2026-08-08,Middle East,Iraq,Al Sulaymaniyah,Protests,Peaceful protest,3,0,40677.0,Demonstrations,1365,35.5263,45.379
2026-08-08,Middle East,Yemen,Lahij,Battles,Armed clash,6,5,42977.0,Political violence,3688,13.3204,44.7623
2026-08-08,Middle East,Iraq,Al Najaf,Strategic developments,Change to group/activity,1,0,,Strategic developments,1363,31.0697,43.38
2026-08-08,Middle East,Syria,Al Hasakeh,Violence against civilians,Abduction/forced disappearance,1,0,62100.0,Political violence,3180,36.4131,40.5519
2026-08-08,Middle East,Syria,Ar Raqqa,Protests,Peaceful protest,6,0,75523.0,Demonstrations,3182,36.0265,38.922
2026-08-08,Middle East,Turkey,Ankara,Protests,Peaceful protest,5,0,63422.0,Demonstrations,3353,39.7073,32.5011
2026-08-08,Middle East,Lebanon,Al Nabatieh,Strategic developments,Looting/property destruction,60,0,,Strategic developments,1741,33.2832,35.4971
2026-08-08,Middle East,Lebanon,South,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1743,33.3416,35.3035
2026-08-08,Middle East,Palestine,West Bank,Strategic developments,Looting/property destruction,87,0,,Strategic developments,2290,31.9475,35.267
2026-08-08,Middle East,Iran,Markazi,Protests,Peaceful protest,6,0,15136.0,Demonstrations,1347,34.4772,49.5818
2026-08-08,Middle East,Syria,As Sweida,Explosions/Remote violence,Remote explosive/landmine/IED,1,2,1635.0,Political violence,3183,32.7624,36.8919
2026-08-08,Middle East,Iraq,Ninewa,Battles,Armed clash,1,1,157661.0,Political violence,1374,35.9879,42.3496
2026-08-08,Middle East,Yemen,Sanaa,Explosions/Remote violence,Remote explosive/landmine/IED,1,2,622.0,Political violence,3692,15.3931,44.4753
2026-08-08,Middle East,Lebanon,South,Explosions/Remote violence,Air/drone strike,8,0,4539.0,Political violence,1743,33.3416,35.3035
2026-08-08,Middle East,Iraq,Al Anbar,Battles,Armed clash,1,0,229557.0,Political violence,1360,33.1774,41.3987
2026-08-08,Middle East,Yemen,Dhamar,Protests,Peaceful protest,1,0,57572.0,Demonstrations,3684,14.5395,44.3063
2026-08-08,Middle East,Lebanon,South,Explosions/Remote violence,Shelling/artillery/missile attack,12,0,6437.0,Political violence,1743,33.3416,35.3035
2026-08-08,Middle East,Syria,Rural Damascus,Battles,Armed clash,1,1,17629.0,Political violence,3192,33.4538,37.4305
2026-08-08,Middle East,Iraq,Babil,Strategic developments,Change to group/activity,1,0,,Strategic developments,1366,32.5765,44.6371
2026-08-08,Middle East,Turkey,Van,Protests,Peaceful protest,1,0,1.0,Demonstrations,3424,38.5455,43.5949
2026-08-08,Middle East,Yemen,Hajjah,Protests,Peaceful protest,1,0,19317.0,Demonstrations,3686,16.0944,43.2039
2026-08-08,Middle East,Lebanon,South,Strategic developments,Looting/property destruction,10,0,,Strategic developments,1743,33.3416,35.3035
2026-08-08,Middle East,Syria,As Sweida,Battles,Armed clash,3,0,9048.0,Political violence,3183,32.7624,36.8919
2026-08-08,Middle East,Syria,Ar Raqqa,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3182,36.0265,38.922
2026-08-08,Middle East,Yemen,Marib,Battles,Armed clash,7,32,76375.0,Political violence,3689,15.3329,45.4523
2026-08-08,Middle East,Syria,Quneitra,Strategic developments,Other,2,0,,Strategic developments,3191,33.0113,35.7989
2026-08-08,Middle East,Turkey,Bingol,Protests,Peaceful protest,1,0,2705.0,Demonstrations,3363,39.0247,40.718
2026-08-08,Middle East,Turkey,Manisa,Protests,Peaceful protest,1,0,26894.0,Demonstrations,3402,38.7462,28.0939
2026-08-08,Middle East,Palestine,Gaza Strip,Explosions/Remote violence,Air/drone strike,11,3,345952.0,Political violence,2289,31.407,34.3577
2026-08-08,Middle East,Yemen,Dhamar,Battles,Armed clash,1,1,,Political violence,3684,14.5395,44.3063
2026-08-08,Middle East,Syria,Ar Raqqa,Battles,Armed clash,1,1,28994.0,Political violence,3182,36.0265,38.922
2026-08-08,Middle East,Palestine,West Bank,Protests,Peaceful protest,2,0,34448.0,Demonstrations,2290,31.9475,35.267
2026-08-08,Middle East,Iraq,Salah Al Din,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,52790.0,Political violence,1375,34.6687,43.6316
2026-08-08,Middle East,Turkey,Hakkari,Protests,Peaceful protest,1,0,28731.0,Demonstrations,3382,37.3909,43.9965
2026-08-08,International Waters,Indian Ocean,North Indian Ocean,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,,Political violence,4199,13.7278,70.4734
2026-08-08,Middle East,Yemen,Sanaa,Protests,Peaceful protest,1,0,4430.0,Demonstrations,3692,15.3931,44.4753
2026-08-08,Middle East,Yemen,Taizz,Strategic developments,Change to group/activity,8,0,,Strategic developments,3695,13.2949,43.7855
2026-08-08,Middle East,Israel,Tel Aviv,Protests,Protest with intervention,1,0,106930.0,Demonstrations,1410,32.0984,34.8103
2026-08-08,Middle East,Yemen,Ad Dali,Explosions/Remote violence,Shelling/artillery/missile attack,7,1,73441.0,Political violence,3675,13.8943,44.7825
2026-08-08,Middle East,Syria,Aleppo,Protests,Peaceful protest,3,0,59917.0,Demonstrations,3181,36.1445,37.3978
2026-08-08,Middle East,Iraq,Diyala,Strategic developments,Arrests,2,0,,Strategic developments,1368,34.0711,44.8903
2026-08-08,Middle East,Yemen,Al Hudaydah,Explosions/Remote violence,Air/drone strike,4,0,50276.0,Political violence,3678,14.7791,43.2181
2026-08-08,Middle East,Yemen,Taizz,Strategic developments,Other,1,0,,Strategic developments,3695,13.2949,43.7855
2026-08-08,Middle East,Iran,West Azerbaijan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1357,37.8742,44.7003
2026-08-08,Middle East,Iraq,Erbil,Strategic developments,Arrests,1,0,,Strategic developments,1370,36.3791,44.2104
2026-08-08,Middle East,Syria,Quneitra,Protests,Protest with intervention,1,0,6.0,Demonstrations,3191,33.0113,35.7989
2026-08-08,Middle East,Syria,Deir ez Zor,Violence against civilians,Abduction/forced disappearance,1,0,2923.0,Political violence,3186,35.2318,40.2761
2026-08-08,Middle East,Yemen,Hajjah,Explosions/Remote violence,Air/drone strike,1,0,19317.0,Political violence,3686,16.0944,43.2039
2026-08-08,Middle East,Iran,Chaharmahal and Bakhtiari,Protests,Peaceful protest,2,0,22082.0,Demonstrations,1332,31.979,50.8101
2026-08-08,Middle East,Palestine,Gaza Strip,Protests,Peaceful protest,3,0,87743.0,Demonstrations,2289,31.407,34.3577
2026-08-08,Middle East,Turkey,Istanbul,Protests,Protest with intervention,1,0,56136.0,Demonstrations,3386,41.2707,28.4707
2026-08-08,Middle East,Syria,Damascus,Strategic developments,Other,2,0,,Strategic developments,3184,33.5153,36.2738
2026-08-08,Middle East,Yemen,Al Mahwit,Protests,Peaceful protest,10,0,111128.0,Demonstrations,3681,15.3084,43.4994
2026-08-08,Middle East,Yemen,Abyan,Battles,Armed clash,4,0,16533.0,Political violence,3674,13.6274,46.228
2026-08-08,Middle East,Yemen,Hadramawt,Strategic developments,Change to group/activity,1,0,,Strategic developments,3685,16.5288,48.6269
2026-08-08,Middle East,Israel,Jerusalem,Protests,Peaceful protest,1,0,32386.0,Demonstrations,1409,31.7281,34.9945
2026-08-08,Middle East,Iraq,Ninewa,Strategic developments,Change to group/activity,1,0,,Strategic developments,1374,35.9879,42.3496
2026-08-08,Middle East,Yemen,Ibb,Strategic developments,Change to group/activity,4,0,,Strategic developments,3687,14.0881,44.175
2026-08-08,Middle East,Yemen,Shabwah,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3693,14.651,46.62
2026-08-08,Middle East,Yemen,Ibb,Protests,Peaceful protest,2,0,70384.0,Demonstrations,3687,14.0881,44.175
2026-08-08,Middle East,Iraq,Wassit,Strategic developments,Change to group/activity,1,0,,Strategic developments,1377,32.7059,45.704
2026-08-08,Middle East,Yemen,Abyan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3674,13.6274,46.228
2026-08-08,International Waters,Indian Ocean,North Indian Ocean,Battles,Armed clash,1,8,,Political violence,4199,13.7278,70.4734
2026-08-08,Middle East,Iraq,Al Muthanna,Riots,Violent demonstration,2,0,94280.0,Demonstrations,1362,30.4107,45.3606
2026-08-08,Middle East,Iraq,Salah Al Din,Protests,Peaceful protest,2,0,34397.0,Demonstrations,1375,34.6687,43.6316
2026-08-08,Middle East,Yemen,Ibb,Strategic developments,Arrests,1,0,,Strategic developments,3687,14.0881,44.175
2026-08-08,Middle East,Syria,Ar Raqqa,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,3182,36.0265,38.922
2026-08-08,Middle East,Lebanon,Al Nabatieh,Explosions/Remote violence,Shelling/artillery/missile attack,60,0,57815.0,Political violence,1741,33.2832,35.4971
2026-08-08,Middle East,Iran,Tehran,Riots,Violent demonstration,1,0,164402.0,Demonstrations,1356,35.5022,51.3269
2026-08-08,Middle East,Syria,Rural Damascus,Violence against civilians,Attack,1,0,39658.0,Political violence,3192,33.4538,37.4305
2026-08-08,Middle East,Syria,Al Hasakeh,Violence against civilians,Attack,2,1,46978.0,Political violence,3180,36.4131,40.5519
2026-08-08,Middle East,Turkey,Mersin,Protests,Peaceful protest,1,0,15265.0,Demonstrations,3404,36.7331,33.7591
2026-08-08,Middle East,Turkey,Ankara,Strategic developments,Change to group/activity,1,0,,Strategic developments,3353,39.7073,32.5011
2026-08-08,Middle East,Palestine,Gaza Strip,Violence against civilians,Attack,13,1,351487.0,Political violence,2289,31.407,34.3577
2026-08-08,Middle East,Yemen,Ibb,Strategic developments,Looting/property destruction,1,0,,Strategic developments,3687,14.0881,44.175
2026-08-08,Middle East,Turkey,Ankara,Protests,Protest with intervention,3,0,26944.0,Demonstrations,3353,39.7073,32.5011
2026-08-08,Middle East,Saudi Arabia,Najran,Explosions/Remote violence,Air/drone strike,1,0,36586.0,Political violence,2725,18.2376,45.6117
2026-08-08,Middle East,Yemen,Taizz,Explosions/Remote violence,Air/drone strike,13,64,174817.0,Political violence,3695,13.2949,43.7855
2026-08-08,Middle East,Yemen,Hadramawt,Strategic developments,Other,2,0,,Strategic developments,3685,16.5288,48.6269
2026-08-08,Middle East,Iraq,Ninewa,Protests,Peaceful protest,3,0,37353.0,Demonstrations,1374,35.9879,42.3496
2026-08-08,Middle East,Palestine,West Bank,Strategic developments,Arrests,3,0,,Strategic developments,2290,31.9475,35.267
2026-08-08,Middle East,Iraq,Babil,Protests,Peaceful protest,1,0,478.0,Demonstrations,1366,32.5765,44.6371
2026-08-08,Middle East,Palestine,Gaza Strip,Strategic developments,Change to group/activity,2,0,,Strategic developments,2289,31.407,34.3577
2026-08-08,Middle East,Yemen,Ad Dali,Protests,Peaceful protest,6,0,89982.0,Demonstrations,3675,13.8943,44.7825
2026-08-08,Middle East,Yemen,Amanat al Asimah,Violence against civilians,Attack,1,0,96607.0,Political violence,3682,15.4201,44.1919
2026-08-08,Middle East,Palestine,Gaza Strip,Strategic developments,Looting/property destruction,4,0,,Strategic developments,2289,31.407,34.3577
2026-08-08,Middle East,Palestine,Gaza Strip,Strategic developments,Arrests,2,0,,Strategic developments,2289,31.407,34.3577
2026-08-08,Middle East,Iran,Hormozgan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1338,27.1422,55.0325
2026-08-08,Middle East,Jordan,Al Mafraq,Strategic developments,Other,2,0,,Strategic developments,1510,32.5408,38.1525
2026-08-08,Middle East,Lebanon,Baalbek-Hermel,Violence against civilians,Abduction/forced disappearance,1,0,3727.0,Political violence,1737,34.1673,36.2993
2026-08-08,Middle East,Iraq,Kirkuk,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,5855.0,Political violence,1372,35.2858,44.0603
2026-08-08,Middle East,Yemen,Taizz,Violence against civilians,Abduction/forced disappearance,1,0,15009.0,Political violence,3695,13.2949,43.7855
2026-08-08,Middle East,Iran,Lorestan,Protests,Peaceful protest,6,0,41516.0,Demonstrations,1346,33.5164,48.3219
2026-08-08,Middle East,Palestine,Gaza Strip,Strategic developments,Headquarters or base established,1,0,,Strategic developments,2289,31.407,34.3577
2026-08-08,Middle East,Yemen,Al Hudaydah,Battles,Armed clash,8,22,151992.0,Political violence,3678,14.7791,43.2181
2026-08-08,Middle East,Iraq,Baghdad,Strategic developments,Change to group/activity,1,0,,Strategic developments,1367,33.278,44.3783
2026-08-08,Middle East,Yemen,Shabwah,Battles,Armed clash,7,34,86778.0,Political violence,3693,14.651,46.62
2026-08-08,Middle East,Iraq,Thi Qar,Battles,Armed clash,2,3,129698.0,Political violence,1376,31.2876,46.2732
2026-08-08,Middle East,Iran,Hormozgan,Strategic developments,Looting/property destruction,1,0,,Strategic developments,1338,27.1422,55.0325
2026-08-08,Middle East,Syria,Rural Damascus,Strategic developments,Other,2,0,,Strategic developments,3192,33.4538,37.4305
2026-08-08,Middle East,Turkey,Antalya,Violence against civilians,Attack,1,0,,Political violence,3354,36.7628,31.9301
2026-08-08,Middle East,Yemen,Al Bayda,Violence against civilians,Abduction/forced disappearance,1,0,55179.0,Political violence,3677,14.326,45.216
2026-08-08,Middle East,Yemen,Taizz,Violence against civilians,Attack,1,1,46182.0,Political violence,3695,13.2949,43.7855
2026-08-08,Middle East,Iran,Khuzestan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1343,31.4636,48.9916
2026-08-08,Middle East,Yemen,Abyan,Strategic developments,Other,2,0,,Strategic developments,3674,13.6274,46.228
2026-08-08,Middle East,Iraq,Kirkuk,Strategic developments,Arrests,1,0,,Strategic developments,1372,35.2858,44.0603
2026-08-08,Middle East,Yemen,Taizz,Explosions/Remote violence,Remote explosive/landmine/IED,2,1,12669.0,Political violence,3695,13.2949,43.7855
2026-08-08,Middle East,Syria,Lattakia,Strategic developments,Arrests,1,0,,Strategic developments,3190,35.5854,35.9916
2026-08-08,Middle East,Iraq,Kirkuk,Explosions/Remote violence,Air/drone strike,1,0,359334.0,Political violence,1372,35.2858,44.0603
2026-08-08,Middle East,Iran,Sistan and Baluchestan,Violence against civilians,Abduction/forced disappearance,3,0,256935.0,Political violence,1354,28.2728,60.8613
2026-08-08,Middle East,Iraq,Al Basrah,Protests,Peaceful protest,10,0,75972.0,Demonstrations,1361,30.2047,47.5084
2026-08-08,Middle East,Israel,Tel Aviv,Riots,Violent demonstration,1,0,196997.0,Demonstrations,1410,32.0984,34.8103
2026-08-08,Middle East,Palestine,West Bank,Strategic developments,Change to group/activity,3,0,,Strategic developments,2290,31.9475,35.267
2026-08-08,Middle East,Yemen,Taizz,Strategic developments,Looting/property destruction,3,0,,Strategic developments,3695,13.2949,43.7855
2026-08-08,Middle East,Saudi Arabia,Jizan,Explosions/Remote violence,Air/drone strike,2,0,39649.0,Political violence,2723,17.353,42.7999
2026-08-08,Middle East,Palestine,West Bank,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,2290,31.9475,35.267
2026-08-08,Middle East,Iran,Golestan,Protests,Peaceful protest,2,0,23975.0,Demonstrations,1336,37.2982,54.8804
2026-08-08,Middle East,Iran,North Khorasan,Protests,Peaceful protest,1,0,15410.0,Demonstrations,1349,37.4249,57.178
2026-08-08,Middle East,Syria,Quneitra,Strategic developments,Arrests,2,0,,Strategic developments,3191,33.0113,35.7989
